doc,sen_idx,sentence,sum_content
2,13,"18일에는 알파인스키 남자 대회전 경기가 예정돼 있으며 컬링에서는 한국팀이 각각 덴마크(남자), 중국(여자)과 각각 예선을 치른다.",0
2,14,설 연휴에 앞서 이 총리는 충남 예산소방서와 서울 동대문경찰서를 찾아 근무자들을 위로하고 비상대비태세를 확인했다. ,0
2,15,장애인 사회복지시설도 방문했으며 서울 청량리역에서 교통상황도 점검했다.,0
2,16,"공식업무에 복귀하는 다음주에는 핀란드 총리를 면담하고 국무회의, 국정현안점검조정회의, 국민안전안심위원회, 국가과학기술심의회 등을 주재한다.",0
3,0,행정팀 = 미국 플로리다주 남부 파크랜드의 한 고등학교에서 14일 오후(현지시간) 발생한 총격사건으로 최소 17명이 사망한 것으로 알려진 가운데 현재까지 우리 국민의 피해 상황은 없는 것으로 파악되고 있다.,1
3,1,"외교부 당국자는 15일 ""현지 공관원 등을 파견해 우리 국민 피해 여부를 파악 중이지만 현재까지 영사콜센터에 접수된 우리 국민 피해 신고는 없다""면서 이같이 밝혔다. ",1
3,2, 외신에 따르면 플로리다주 파크랜드의 마저리 스톤먼 더글라스 고등학교에서 한 남성이 소총을 난사해 현재까지 17명이 사망했다. ,0
3,3, 이 사건으로 19세의 용의자 니콜라스 크루즈가 체포되었으며 현지 수사관들은 사건 전말을 조사 중이다. ,0
3,4,용의자는 이 학교 학생이었으나 교칙위반 등의 이유로 퇴학당한 것으로 알려졌다. ,0
4,0,경기 평택시는 일정 규모의 재난 피해에 대해 보상이 가능하도록 조례 제정을 추진하고 있다고 15일 밝혔다. ,1
4,1,"시는 국가 차원에서 특별재난지역으로 선포되지 않았지만, 자체적으로 재난안전대책본부가 차려진 피해의 복구 및 및 생계자금 지원을 위해 '평택시 사회재난 구호 및 복구 지원에 관한 조례안'을 시의회 의결을 거쳐 오는 3월부터 시행할 방침이다.",1
4,2,조례안은 시의 행정·재정적 능력이 부족할 경우 경기도의 지원을 받을 수 있도록 규정하고 있다.,0
4,3,"시 관계자는 ""현행법은 특별재난지역으로 선포된 지역에 한해 국고 지원이 가능하다""면서 ""사회재난 구호 조례를 통해 피해 구호 범위를 확대할 방침""이라고 말했다.",0
5,0,설 연휴 기간 병원이나 약국을 가야 한다면 120 다산콜센터나 119에 전화해 문 연 곳을 물어보면 된다.,1
5,1,"서울시는 이달 15∼18일 시청과 자치구별로 ‘응급진료상황실’을 설치하고, 응급·당직의료기관과 휴일 지킴이약국을 지정·운영한다.",1
5,2,연휴 기간 서울 시내 67개 응급의료기관과 종합병원 응급실은 평소처럼 24시간 운영된다. ,1
5,3,당직의료기관은 운영시간을 확인하고 이용해야 한다.,0
5,4,"연휴 때 우리 동네에서 문을 연 병원·의원과 약국은 전화, 인터넷, 스마트폰 앱으로 확인할 수 있다.",0
5,5,"119구급상황관리센터, 서울시, 자치구, 중앙응급의료센터홈페이지에서 확인할 수 있다.",0
5,6,"국번 없이 119나 120을 누르면 안내받을 수 있고, 스마트폰 앱 ‘응급의료정보제공’을 통해서도 가능하다.",0
6,0,김부겸 행정안전부 장관이 14일 설 명절을 맞아 경기도 성남시 서울고속도로순찰대를 방문하여 전국 교통흐름 등 고속도로 CCTV로 실시간 확인하고 교통사고 발생시 2차 사고 방지를 위해 사용되는 비상불꽃 장비를 시연해 보고 있다.,1
6,1,공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. ,1
6,2,"뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다.",1
7,0,김부겸 행정안전부 장관이 14일 설 명절을 맞아 경기도 성남시 서울고속도로순찰대를 방문하여 전국 교통흐름 등 고속도로 CCTV로 실시간 확인하고 교통사고 발생시 2차 사고 방지를 위해 사용되는 비상불꽃 장비를 시연해 보고 있다.,1
7,1,공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. ,1
7,2,"뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다.",1
8,0,행정팀 = 정부는 14일 북한의 평창 동계올림픽 참가와 관련해 28억6000만원을 지원하기로 결정했다.  ,1
8,1,통일부는 이날 조명균 장관 주재로 열린 제291차 남북교류협력추진협의회(교추협)에서 이같은 내용의 '2018 평창올림픽 대회 북한 참가단 관련 남북협력기금 지원안'을 심의·의결했다고 밝혔다. ,1
8,2,남북협력기금에서 지원되는 이 금액에는 다음달에 열리는 평창 동계패럴림픽에 파견되는 북한 선수단 등 150명에 대한 경비는 포함되지 않았다. ,0
8,3,이에 대해서는 추후 논의될 예정이다. ,0
8,4, 이번 지원은 남북이 지난달 17일 차관급 실무회담에서 평창 동계올림픽의 북한 참가와 관련해 북측의 편의를 제공키로 한다고 합의한 데 따른 것이다. ,0
9,0,이낙연 국무총리가 14일 서울 청량리역 보안검색대에서 보안검사를 받고 있다.,1
9,1,코레일은 올림픽 기간동안 강릉행 열차 이용객을 대상으로 보안검색을 실시하고 있다.,1
10,0,"제주도의회, 랜딩카지노 확장이전 관련 행정절차 안건 처리",0
10,1,국내 최대 리조트인 제주신화월드에 대규모 외국인 전용 카지노를 개장하는 문제가 다시 최종 결정권이 있는 제주도로 넘어갔다.,1
10,2,"제주도의회는 14일 제358회 임시회 제2차 본회의를 열어 '랜딩카지노업 영업장소의 면적 변경허가 신청에 따른 의견 제시의 건'을 재석의원 32명 중 찬성 28명, 반대 4명으로 가결했다.",1
10,3,이 안건은 서귀포 하얏트 호텔의 랜딩카지노를 신화월드로 확장 이전하는 변경허가 승인을 하기 전 제주도가 도의회에 의견을 묻는 행정 절차다.,1
10,4,제주특별자치도 카지노업 관리 및 감독에 관한 조례'는 영업장소 변경과 관련해 새 영업장이 기존면적의 2배 이상 초과하는 경우 도의회의 의견을 묻도록 규정하고 있다. ,0
10,5,"도의회는 카지노 대형카지노 난립 규제 정책을 마련을 요구하는 등 14가지 의견서를 도에 제출하기로 하고, 해당 안건을 최종 처리했다.",0
10,6,결국 '카지노 대형화의 신호탄' 논란을 빚고 있는 변경허가 승인 문제와 관련해 최종 허가권자인 원희룡 제주지사에게로 공이 넘어간 셈이다.,0
10,7,변경허가가 나게 되면 랜딩카지노는 도내 8개 외국인 전용 카지노 중 가장 큰 규모의 카지노가 된다. ,0
10,8,이외에도 제주시 한동·평대 지역을 해상풍력발전지구로 지정하는 내용을 담은 '한동·평대 해상풍력발전지구 지정 동의안'과 대규모 관광개발사업 사업자의 적격성 및 자본에 대한 객관적인 검증 방안을 담은 '제주특별자치도 개발사업시행 승인 등에 관한 조례 일부개정조례안'도 이날 본회의를 통과했다.,0
10,9,제주도가 한진그룹 계열 한국공항의 제주 지하수 증산 허가신청 철회를 요청함에 따라 본회의에 상정된 '한국공항㈜ 지하수 개발·이용 변경허가 동의안 철회 동의의 건'도 가결 처리됐다.,0
10,10,이로써 지하수 증산 허가를 놓고 빚어진 논란도 일단락됐다.,0
10,11,"고충홍 제주도의회 의장은 폐회사를 통해 ""유례없던 추위와 폭설로 큰 피해를 남겼던 겨울이 서서히 물러나고 있다""며 신속한 피해복구를 위한 다각적인 대책 마련을 제주도에 주문했다. ",0
10,12,"또 ""지난 7일 국회 본회의에 상정이 기대됐던 도의회 의원정수 확대 및 연동형 비례대표 도입을 골자로 한 제주특별법 개정안이 유보됐다""며 ""오는 20일 예정된 국회 본회의에서 법안이 처리될 수 있기를 촉구한다""고 덧붙였다.",0
11,0,인도에서 30대 한국여성이 현지 남성 5명에서 살해위협과 성희롱을 당하는 사건이 발생했다.,1
11,1,한국대사관은 인도 측에 철저한 수사와 처벌을 요구했다고 현지 언론과 대사관이 전했다. ,1
11,2,한국인 여성 회사원 A씨는 지난 10일 오후 인도인 지인과 함께 뉴델리 인근 산업도시 구르가온의 한 대학 근처를 걷다가 현지 남성 5명에게 둘러 싸였다. ,0
11,3,인도 남성 5명은 A씨와 인도인 지인을 휴대전화로 촬영하고 A씨가 거부했음에도 함께 셀카를 찍으려 시도했으며 이에 항의하는 A씨의 손을 잡아채고 살해하겠다고 협박한 것으로 알려졌다. ,0
11,4,A씨와 지인은 소리치며 차로 달아난 뒤 경찰에 신고했다. ,0
11,5,"인도 현지 경찰은 탐문 끝에 다음날 용의자 5명 가운데 4명을 찾아 성희롱, 협박, 폭행 등 혐의로 체포했다. ",0
11,6,그러나 나머지 1명을 추적 중이다. ,0
11,7,인도에서 성희롱은 3년 이하 징역형으로 처벌된다. ,0
11,8,한국대사관 관계자는 “이번 사건 소식을 접한 후 관할 경찰에 연락해 철저한 수사와 공정한 처벌을 요청했다”고 밝혔다.,0
12,0,현송월 북한 삼지연관현악단 단장이 북한으로 돌아간 뒤에도 실세임을 입증했다.,1
12,1,북한 노동당 기관지 노동신문은 방한 공연을 마치고 평양에 귀환한 현송월 단장 등 삼지연관현악단 멤버들이 김정은 북한 노동당 위원장을 만나 인사를 나누고 기념사진을 찍었다고 13일 보도했다. ,1
12,2,"현송월 단장은 지난 6일 방한해 8일 강릉, 11일 서울 공연을 마치고 12일 북한으로 돌아갔다.",0
12,3,북한이 이날 공개한 삼지연관현악단 사진에선 현송월 단장이 존재감을 드러냈다. ,0
12,4,김정은 북한 노동당 위원장이 방한 공연을 마치고 평양에 귀환한 현송월 단장 등 삼지연관현악단 멤버들을 만나 기념사진을 찍었다고 노동신문이 13일 보도했다.,0
12,5,현 단장은 정장을 입고 김 위원장과 같은 앞줄에 앉아서 사진을 찍었다. ,0
12,6,반면 삼지연관현악단 단원들은 연습복 차림에 부동 자세로 서서 포즈를 취했다.,0
12,7,현 단장이 김 위원장 바로 옆에 앉아 있는 모습에서 북한 내 그의 입지가 얼마나 높은지를 알 수 있다.,0
12,8,현 단장은 11일 서울 국립극장 해오름극장에서 열린 삼지연관현악단의 마지막 공연에 등장해 ‘백두와 한나(한라)는 내 조국’을 불렀다.,0
12,9, 이날 깜짝 공연을 펼친 현 단장은 능숙한 무대 매너로 관중의 시선을 사로잡았다. ,0
12,10,김정은 북한 노동당 위원장이 남쪽에서 공연을 마치고 평양에 귀환한 현송월 단장 등 삼지연관현악단 멤버들을 만나 기념사진을 찍었다고 노동신문이 13일 보도했다. 사진=노동신문,0
12,11,현 단장은 문재인 대통령과 김여정 노동당 중앙위 제1부부장이 지켜보는 가운데 통일의 메시지를 전달했다.,0
12,12,그는 “통일을 바라는 절절한 마음들과 화해를 바라는 뜨거운 심장이 한자리에 모였다”며 “이 밤이 새도록 통일의 노래가 공연장에 울리면 좋겠다”고 말했다. ,0
12,13,그는 또 “온 민족이 함께하는 자리에서 화해와 단합의 소리를 저의 작은 목소리로 합치기 위해 노래 한 곡 하겠다”고 덧붙였다.,0
13,0,전북 임실군은 민선 6기 공약사업이자 도정 핵심시책인 삼락농정의 일환으로 농업인 마을공동급식사업을 추진한다고 14일 밝혔다.,1
13,1,마을공동급식 사업은 여성농업인의 급식 준비로 인한 생산성 저하 및 일손 부족을 해결하고 여성농업인의 근로 여건개선을 목적으로 추진된다.,1
13,2,올해 마을공동급식 지원사업 대상은 51개 마을이다. ,1
13,3,"마을당 조리원 인건비, 식재료비·위생비 등 305만원을 지원한다. ",0
13,4,지난해에는 32개 마을에서 이 사업이 진행됐다.,0
13,5,"심민 군수는 “마을공동급식사업은 고령화에 따른 농번기 일손부족을 해소하기 위한 특화된 서비스로서, 농업인들의 삶의 질 향상에 크게 도움이 될 것”이라며 “농촌지역의 공동체 문화를 만들어가는 데 매우 필요한 정책인 만큼 앞으로도 다양한 농업인 복지정책을 발굴해 나가는 데 노력하겠다”고 말했다.",0
14,0,김부겸 행정안전부 장관이 14일  설 명절을 맞아 서울 송파구 가락119안전센터를 방문하여 소방대원들을 격려하고 소방 구급장비 등을 살펴보고 있다.,1
14,1,공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. ,1
14,2,"뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다.",1
15,0,서일준 전 거제부시장이 14일 거제시청에서 기자회견을 열어 거제시장 선거 출마를 선언했다.,1
15,1,"서 전 부시장은 ""변화를 통해 새로운 희망을 만들어 달라는 시민들의 목소리를 확인했다""며 ""다양한 행정 경험, 풍부한 인적 네트워크를 바탕으로 새로운 거제호의 나침반과 지도가 되겠다""고 말했다.",1
15,2,"거제 출신인 그는 경남도 재난안전건설본부장, 문화관광체육국장 등을 거쳐 지난달 말까지 거제시 부시장으로 근무하다 최근 사직했다.",1
15,3,서 전 부시장은 최근 자유한국당에 입당했다.,0
16,0,익산시는 올해 6·13 지방선거의 차질없는 진행을 위해 ‘주민등록 사실조사’를 실시한다고 14일 밝혔다.,1
16,1,올해 주민등록 사실조사는 3월30일까지 진행된다.,1
16,2,"시는 읍·면·동 행정복지센터 공무원과 통장 등으로 구성된 합동조사반을 편성, 세대별 방문을 통해 주민등록 사항과 실제 거주사실 일치 여부를 확인한다.",0
16,3,거주지 변동 후 미신고자에 대해서는 전입신고를 적극 유도하고 100세 이상 고령자 거주 및 생존 여부 등도 파악할 예정이다.,0
16,4,또 무단전출자와 허위신고자는 공고 등의 절차를 거쳐 직권조치하고 거주불명등록자에 대해서는 재등록을 적극 안내할 계획이다.,0
16,5,"특히 주민등록 사실조사 기간 중에 자진 신고를 통해 주민등록사항을 정리하는 사람에 대해서는 과태료를 50％ 경감 부과하고, 과태료를 자진 납부하는 경우에는 20％를 추가 경감한다.",0
16,6,시 관계자는 “주민등록 사실조사는 주민의 행정편익 증진과 행정사무의 효율적인 추진을 위한 것이다”며 “주민들의 적극적인 협조를 부탁드린다”고 말했다.,0
17,0,여야 지도부는 설 명절을 하루 앞둔 14일 서울의 주요 역사 앞에서 귀성객들을 만나 명절 민심 잡기 경쟁을 벌였다. ,1
17,1,"더불어민주당은 평창올림픽과 남북대화 재개 등을 주제로 국민들의 관심과 성원을 당부한 반면, 야당은 정부의 실정을 알리는데 주력했다. ",0
17,2,또 창당 뒤 첫 명절 인사에 나선 바른미래당과 민주평화당은 대안을 찾는 야당이 되겠다며 각각 각오를 다졌다.,0
17,3,이번 설 명절은 6.13 지방선거를 넉달 앞둔 시점이라는 점에서 정치권이 특히 민심에 공을 들이고 있다. ,0
17,4,더불어민주당 추미애 대표와 우원식 원내대표 등 지도부는 이날 오전 서울역 강릉행 열차 플랫폼에서 강원도 고향길을 찾는 시민들을 환송하며 덕담을 나눴다.,0
17,5,"추 대표는 ""평창올림픽이 평화올림픽이 되고 북미 간 대화와 남북대화로 이어지는 평화의 이어달리기가 될 수 있도록 응원을 바란다""고 호소했다. ",0
17,6,"또 서울역 광장에서 전국언론노동조합 YTN지부 노조원, 철도비정규직노조연대회의 조합원 등을 만나 고충을 듣기도 했다.",0
17,7,"한국당 홍준표 대표, 김성태 원내대표 등 지도부도 오전에 서울역에서 귀성인사를 하며 정부의 실정을 알리는데 주력했다.",0
17,8,홍 대표 등 의원들은 '새해 복 많이 받으세요'라고 쓰여 있는 어깨띠를 두르고 직접 플랫폼으로 내려가 시민들과 인사를 나눴다.,0
17,9,"김성태 원내대표는 시민들에게 ""한국당이 대한민국의 안전과 국민의 생명을 지키는 데 더욱 열심히 하겠다""며 지지를 호소했다.",0
17,10,행사중에는 귀성 인사를 나온 바른미래당 오신환 원내대표등과 마주치자 인사를 나누기도 했다.,0
17,11,전날 창당을 마치고 출범한 바른미래당은 이날 오전 국회 본청 계단 앞에서 새해 인사를 한 뒤 박주선.유승민 공동대표와 김동철 원내대표 등 지도부가 용산역과 서울역을 잇따라 찾아 시민들에게 신당의 비전을 설명하고 명절 인사를 전했다.,1
17,12,민주평화당 조배숙 대표와 장병완 원내대표 등 당 지도부도 오전에 용산역에서 시민들을 만나 신당의 지지를 호소했다.,1
17,13,정의당 이정미 대표와 노회찬 원내대표 역시 서울역에 나가 귀향객들에게 인사를 했다. ,0
17,14,"이정미 대표는 ""아이들에게 자랑스러운 대한민국이 되도록, 공평한 기회가 주어지는 나라를 만들 수 있도록, 앞장서겠다""고 했다.",0
18,0,4억 4800만원 사업비 투입,0
18,1,광주 남구는 주민들이 편안하고 안정적인 주거 생활을 할 수 있도록 노후 중소형 아파트에 대한 시설개선 사업을 추진한다고 14일 밝혔다. ,1
18,2,"노후 중소형 아파트 시설개선 사업의 대상은 전용면적 85㎡ (약 25평)이하, 준공된 지 26년 이상이 된 아파트다. ",0
18,3,"남구는 4억 4800만원의 사업비를 투입해 시설개선 사업을 실시, 사업 대상 아파트는 남구에만 38개의 아파트 단지가 있는 것으로 파악되고 있다. ",1
18,4,"남구는 사업대상 지역에 속하는 38개 아파트 관리사무소에 노후 중소형 아파트 시설개선 사업 안내 공문을 발송했으며, 오는 23일까지 신청 접수를 받을 예정이다. ",1
18,5,"사업대상 지역 아파트 선정은 이르면 이달 말 또는 3월 초 정도에 확정될 것으로 보이며, 아파트 단지별 시설개선 사업비 투입 규모에 따라 최소 8개 단지에서 12개 단지가 선정될 계획이다. ",0
18,6,"남구 관계자는 ""사업대상 지역 아파트 단지로 선정되면 해당 아파트의 시설개선 사업비의 80％ 가량이 시비와 구비로 지원되며 20％는 자부담""이라며 ""노후된 아파트에서 거주하는 입주민들의 주거 편의를 위해 해당 사업을 차질없이 진행해 나가겠다""고 밝혔다.",0
19,0,2018년도 국가공무원 5급 공채 및 외교관 후보자 선발시험의 평균 경쟁률이 37. 3대 1로 집계됐다. ,1
19,1,인사혁신처는 지난 7∼9일 올해 국가공무원5급 공채 및 외교관후보자 선발시험 응시원서 접수 결과 383명 선발에 1만4277명이 지원해 평균 37. 3대 1의 경쟁률을 보였다고 14일 밝혔다. ,1
19,2,이는 지난해 41.1대 1의 경쟁률보다는 다소 하락한 것이다. ,0
19,3,지난해에는 383명 선발에 1만5725명이 지원했다.,0
19,4,"모집 직군별 경쟁률은 5급 행정직 40대 1, 5급 기술직 32.7대 1, 외교관 후보자 28.6대 1이었다. ",0
19,5,모집 세부단위로는 검찰직이 2명 뽑는데 244명이 몰려 122대 1의 가장 높은 경쟁률을 기록했다. ,0
19,6,"이어 교정직이 116.5대 1, 출입국관리직이 106대 1의 경쟁률을 보였다.",0
19,7,"지원자의 평균 연령은 27.7세로, 지난해 27.5세와 비슷했다. ",0
19,8,연령별로는 ▲20∼24세 4천269명(29.9%) ▲25∼29세 6천193명(43.4%) ▲30∼39세 3천236명(22.7%) ▲40∼49세 533명(3.7%) ▲50세 이상 46명(0.3%)이다. ,0
19,9,"여성 지원자는 38.0%로, 지난해 38.2%와 엇비슷했다.",0
19,10,"한편 국가공무원 5급 공채 및 외교관 후보자 선발을 위한 1차 시험은 3월10일 전국 5개 지역(서울ㆍ부산ㆍ대구ㆍ광주ㆍ대전)에서 치러지며, 1차 시험 합격자는 4월9일 사이버국가고시센터(http://gosi.kr)를 통해 발표된다.",0
20,0,"인사혁신처는 2018년도 국가공무원 5급 공채 및 외교관후보자 선발시험 응시원서를 접수한 결과, 383명 선발에 1만 4277명이 지원해 평균 37. 3대 1의 경쟁률을 보였다고 14일 밝혔다.",1
20,1,"올해 접수인원은 지난해(383명 선발, 1만5725명 접수)보다 1488명(9.2%) 감소한 것이며, 경쟁률도 다소 하락했다. ",1
20,2,"경쟁률은 2013년 31.7:1, 2014년 32:1, 2015년 35.8:1, 2016년 44.4:1, 2017년 41.1:1이었다. ",0
20,3,올해 접수인원과 경쟁률이 줄어든 이유를 수험가에서는 지난해부터 제1차 시험에 도입된 헌법 과목에 대한 준비가 부족한 일부 수험생이 지원을 포기한 영향인 것으로 분석했다. ,0
20,4,"주요 모집 직군별 경쟁률은 5급 행정직군 40:1, 5급 기술직군 32.7:1, 외교관후보자 28.6:1이었으며 모집단위로는 검찰직이 가장 높은 122:1의 경쟁률을 기록했다. ",0
20,5,접수자의 평균 연령은 27.7세로 지난해(27.5세)와 비슷했다. ,0
20,6,"연령별로는 20~24세 4269명(29.9%), 25~29세 6193명(43.4%), 30∼39세 3236명(22.7%), 40∼49세 533명(3.7%)이었고 50세 이상은 46명(0.3%)이었다. ",0
20,7,여성 접수자도 38%로 지난해(38.2%)와 비슷한 비율을 나타냈다. ,0
20,8,"2018년도 국가공무원 5급 공채 및 외교관후보자 선발 제1차시험은 내달 10일에 전국 5개 지역(서울, 부산, 대구, 광주, 대전)에서 치러지며 제1차시험 합격자는 4월 9일 사이버국가고시센터를 통해 발표될 예정이다. ",0
21,0,"바른정당-국민의당 통합정당인 바른미래당 대전시당 통합추진위원회는 14일 국민권익위원회의 부패방지 시책평가에서 대전시가 2년 연속 최하위 등급을 받은 것에 대해 ""권선택 전 시장을 공천한 민주당이 책임져야 한다""고 주장했다.",1
21,1,"바른미래당 대전시당 통합추진위는 이날 대변인 명의 논평을 통해 ""지난 4년간 대전에서 벌어진 일을 되짚어보면 가슴이 답답하다""며 ""대전시가 왜 갑자기 전국에서 제일 부패지수가 높아졌는지 원인을 따지고 책임자를 규명해야 할 시점""이라고 밝혔다.",1
21,2,"바른미래당은 상수도 민영화 사업, 월평공원 민간특례사업, 용산동 관광휴양시설 개발 사업 등 시민단체와 갈등이 깊었던 사업들을 언급한 뒤 ""산하기관 채용비리와 인사비리가 끊임없이 이어졌지만, 대전시는 눈 하나 꿈쩍하지 않고 책임지지 않고 있다""고 비판했다.",0
21,3,"이어 ""책임은 시장에게 있지만 권 전 시장이 법을 어겨 시청에서 떠난 상황이니 이에 대한 책임은 권 전 시장을 공천한 민주당이 져야 한다""며 ""민주당은 '이게 대전의 모습이냐'라며 가슴앓이를 하고 있을 시민에게 사과하라""고 촉구했다.",0
22,0,북한이 평창 겨울올림픽에 참가하는 비용과 관련해 정부가 28억6000만원을 지원하는 안이 14일 의결됐다. ,1
22,1,이 금액은 남북협력기금에서 집행된다. ,0
22,2,정부는 이날 조명균 통일부 장관 주재로 남북교류협력추진협의회(교추협)를 열고 해당 지원안을 심의ㆍ의결했다. ,0
22,3,교추협이 의결한 금액 중 사상 최대 규모다.  ,0
22,4,"이번에 의결된 28억6000만원은 북한 응원단, 태권도 시범단, 기자단. 삼지연관현악단 등의 방한 일정에 소요된 경비다. ",0
22,5,"이번 지원은 지난 1월 남북 고위급 회담 및 실무회담에서 우리 정부가 북한의 대표단 파견과 관련해 편의 제공을 하기로 합의한 데 따른 것으로, 남북협력기금법 제8조에 근거해 의결했다고 통일부는 밝혔다. ",0
22,6,그동안 북한 선수단ㆍ응원단에 대한 지원액은 2002년 부산 아시안게임 당시 13억5500만원이 최대 규모였다.   ,0
22,7,이번에 액수가 두 배 이상 뛴 이유에 대해 백 대변인은 “올림픽 경기장 입장료가 많이 나가기 때문”이라며 “입장료에만 약 10억원이 들어갔다”고 설명했다. ,0
22,8,"이외에 숙식비가 12억원, 수송비가 1억원 정도로 책정됐다. ",0
22,9,백 대변인은 “선수단 규모는 작지만 응원단이나 예술단(삼지연관현악단) 등 인원이 많아서 편의제공 비용이 많이 들었다”고 말했다.,0
22,10,"해당 금액은 평창 올림픽 조직위원회와 대한체육회, 세계태권도연맹 등 행사 주관 기관 및 단체에 지원된다. ",0
22,11,백 대변인은 “사후 정산 방식이기 때문에 실제 집행 금액은 이보다 줄어들 것”이라고 덧붙였다.  ,0
22,12,북한 김영남 최고인민회의 상임위원장과 김정은 북한 노동당 위원장의 동생 김여정 노동당 중앙위 제1부부장(왼쪽) 일행이 10일 강원 강릉시 스카이베이 경포호텔에서 마련된 '통일부 장관 주재 남북고위급 만찬장'에 참석하고 있다. ,0
22,13,정부는 이들의 체류 비용을 남북 회담 관련 행사 비용에서 지출했다고 14일 밝혔다.,0
22,14,다만 이번 지원금액엔 현송월 삼지연관현악단 단장의 사전답사 방한 체류비(1월21~22일)와 북한 선수단 선발대 방한 경비(1월25~27일) 2700만원은 빠졌다. ,0
22,15,또 지난 9~11일 방한한 북한 김여정 노동당 제1부부장 등 고위급 대표단의 체류 비용도 포함되지 않았다. ,0
22,16,백태현 통일부 대변인은 “고위급 대표단의 경비는 남북회담 예산이 사용됐다”고 말했으나 구체적 금액은 밝히지 않았다. ,1
